SampleName	cluster	silhouetteValue
SampleName	cluster	silhouetteValue
TCGA-2W-A8YY-01	1	-0.158272966345558
TCGA-BI-A0VS-01	1	0.0116730092253853
TCGA-C5-A1MI-01	1	0.154015239604499
TCGA-C5-A1ML-01	1	-0.00982622487403231
TCGA-C5-A2LX-01	1	0.0541190585682282
TCGA-C5-A7CK-01	1	0.15668327044082
TCGA-C5-A8XI-01	1	0.118135872694723
TCGA-C5-A8XJ-01	1	0.0931151302890802
TCGA-C5-A8YQ-01	1	0.236133326264716
TCGA-C5-A8YT-01	1	0.122981569709763
TCGA-C5-A8ZZ-01	1	0.188501380071451
TCGA-DS-A0VK-01	1	0.205966224610509
TCGA-DS-A1O9-01	1	0.214962139280593
TCGA-DS-A1OB-01	1	0.175364301259778
TCGA-DS-A1OD-01	1	0.0680386205372551
TCGA-DS-A3LQ-01	1	0.177130910943631
TCGA-EA-A1QS-01	1	0.237702149462662
TCGA-EA-A3QD-01	1	0.028329348138046
TCGA-EA-A410-01	1	0.133990637173547
TCGA-EA-A439-01	1	0.272926480059854
TCGA-EA-A4BA-01	1	0.417431473434809
TCGA-EA-A556-01	1	0.156876731133178
TCGA-EA-A5ZE-01	1	0.107582417639083
TCGA-EA-A5ZF-01	1	-0.106284718416461
TCGA-EK-A2GZ-01	1	0.284798138007016
TCGA-EK-A2IR-01	1	0.123976264647359
TCGA-EK-A2PI-01	1	0.0808934139981829
TCGA-EK-A2PM-01	1	0.0600501340245354
TCGA-EK-A2R9-01	1	0.0153653851632433
TCGA-EK-A2RO-01	1	-0.0975079456935027
TCGA-EX-A1H5-01	1	0.42354369479949
TCGA-FU-A23L-01	1	0.180228680388332
TCGA-FU-A3HZ-01	1	0.167655329358713
TCGA-FU-A3NI-01	1	0.105889395236189
TCGA-FU-A3TX-01	1	0.0782328697317342
TCGA-FU-A3WB-01	1	0.23701315948654
TCGA-FU-A57G-01	1	0.358915546641931
TCGA-HM-A3JK-01	1	0.41264275629373
TCGA-HM-A6W2-01	1	0.0574080868612065
TCGA-IR-A3LH-01	1	0.327196317847854
TCGA-JW-A5VH-01	1	0.353758749913095
TCGA-JW-A5VK-01	1	0.124036141839818
TCGA-LP-A4AW-01	1	0.0182807506391355
TCGA-LP-A5U2-01	1	0.0612345180016056
TCGA-LP-A7HU-01	1	0.176519660567783
TCGA-MU-A5YI-01	1	0.0427761762803963
TCGA-MY-A5BE-01	1	0.00814888079880963
TCGA-PN-A8MA-01	1	0.288089710796403
TCGA-Q1-A73Q-01	1	0.12135418980485
TCGA-Q1-A73S-01	1	0.228705173349247
TCGA-VS-A8EC-01	1	0.186147400086557
TCGA-VS-A8EJ-01	1	0.0706473642169246
TCGA-VS-A94W-01	1	0.00230700595121556
TCGA-VS-A9U6-01	1	0.115220003042039
TCGA-VS-A9UD-01	1	0.0925861132304795
TCGA-VS-A9UL-01	1	0.323931240433354
TCGA-VS-A9UP-01	1	0.170658433732576
TCGA-VS-A9UT-01	1	0.143018763404556
TCGA-ZJ-A8QO-01	1	0.0179397100740084
TCGA-ZJ-AAXB-01	1	0.15194276296755
TCGA-ZJ-AAXD-01	1	0.178967950345465
TCGA-4J-AA1J-01	2	0.00427942704140164
TCGA-BI-A0VR-01	2	0.0805626778686659
TCGA-C5-A1BE-01	2	-0.150293445175779
TCGA-C5-A1BI-01	2	0.0462758403615688
TCGA-C5-A1BJ-01	2	0.180837492051241
TCGA-C5-A1BK-01	2	0.0185278323228939
TCGA-C5-A1BL-01	2	0.1626559529047
TCGA-C5-A1BM-01	2	-0.0409661555534043
TCGA-C5-A1BQ-01	2	0.391446349866585
TCGA-C5-A1M5-01	2	0.333595946757179
TCGA-C5-A1M7-01	2	0.290766840629299
TCGA-C5-A1M8-01	2	0.145635566008185
TCGA-C5-A1MH-01	2	0.192167047965671
TCGA-C5-A1MK-01	2	0.116628254401268
TCGA-C5-A1MP-01	2	0.148167668169894
TCGA-C5-A2LZ-01	2	0.0363650832476497
TCGA-C5-A3HL-01	2	0.131995137430426
TCGA-C5-A7CG-01	2	0.076376470695182
TCGA-C5-A7CJ-01	2	0.030800657179982
TCGA-C5-A7CL-01	2	-0.0111803380495562
TCGA-C5-A7CO-01	2	0.176537832551723
TCGA-C5-A7UE-01	2	0.00885668356680968
TCGA-C5-A901-01	2	0.0176412320030902
TCGA-C5-A905-01	2	0.0512557615851981
TCGA-DG-A2KL-01	2	0.0432072524443198
TCGA-DG-A2KM-01	2	0.222557016397852
TCGA-DR-A0ZL-01	2	0.227586194470387
TCGA-DR-A0ZM-01	2	0.362071668783075
TCGA-DS-A0VL-01	2	0.15092380397577
TCGA-DS-A1OA-01	2	0.103704134039017
TCGA-DS-A5RQ-01	2	0.0956052065265828
TCGA-EA-A1QT-01	2	0.139053960380326
TCGA-EA-A3HQ-01	2	0.125942749014532
TCGA-EA-A3HR-01	2	0.107276476220626
TCGA-EA-A3HS-01	2	0.195933310816767
TCGA-EA-A3HT-01	2	0.0570904399750227
TCGA-EA-A3HU-01	2	0.0590300677566174
TCGA-EA-A3QE-01	2	0.230162927997363
TCGA-EA-A44S-01	2	0.057258259955211
TCGA-EA-A50E-01	2	0.0468780506284226
TCGA-EA-A5O9-01	2	0.0159311633312613
