SampleName	cluster	silhouetteValue
SampleName	cluster	silhouetteValue
TCGA-2H-A9GF-01	1	0.304024683615037
TCGA-2H-A9GG-01	1	0.203537748722767
TCGA-2H-A9GH-01	1	0.500741688307302
TCGA-2H-A9GI-01	1	0.515359434250519
TCGA-2H-A9GJ-01	1	0.423472408401554
TCGA-2H-A9GK-01	1	0.431424600004464
TCGA-2H-A9GL-01	1	0.249647740679927
TCGA-2H-A9GM-01	1	0.343893291334993
TCGA-2H-A9GN-01	1	0.404722220488632
TCGA-2H-A9GO-01	1	0.332234989532651
TCGA-2H-A9GR-01	1	0.100908628108617
TCGA-IC-A6RE-01	1	0.415022509012014
TCGA-IG-A4QS-01	1	0.398827860019059
TCGA-JY-A6F8-01	1	0.0699800266166589
TCGA-JY-A6FB-01	1	0.0514889459269851
TCGA-JY-A6FH-01	1	0.180763721990836
TCGA-JY-A938-01	1	0.185070959185182
TCGA-JY-A939-01	1	-0.284776207964013
TCGA-JY-A93C-01	1	-0.0524474807843118
TCGA-JY-A93E-01	1	-0.0551156832099586
TCGA-L5-A43C-01	1	-0.162573619823647
TCGA-L5-A43E-01	1	0.450780136808483
TCGA-L5-A43I-01	1	0.157660047822711
TCGA-L5-A43M-01	1	-0.0331196204371875
TCGA-L5-A4OE-01	1	0.182887942315511
TCGA-L5-A4OF-01	1	0.219250220619434
TCGA-L5-A4OG-01	1	-0.217278866684736
TCGA-L5-A4OH-01	1	0.299234307272708
TCGA-L5-A4OI-01	1	0.244720877678807
TCGA-L5-A4OJ-01	1	0.0753251592189923
TCGA-L5-A4ON-01	1	0.185247688622026
TCGA-L5-A4OO-01	1	0.159742103920095
TCGA-L5-A4OP-01	1	0.0116230008674672
TCGA-L5-A4OQ-01	1	0.496939403722478
TCGA-L5-A4OR-01	1	0.188067331906187
TCGA-L5-A4OT-01	1	0.483378692319902
TCGA-L5-A4OU-01	1	0.105506817724253
TCGA-L5-A4OW-01	1	0.0250895223125615
TCGA-L5-A4OX-01	1	0.11774673329844
TCGA-L5-A88V-01	1	0.353223084006508
TCGA-L5-A88Y-01	1	0.251047551847024
TCGA-L5-A891-01	1	0.236235464077929
TCGA-L5-A893-01	1	0.472973972587403
TCGA-L5-A8NE-01	1	-0.157248467833927
TCGA-L5-A8NF-01	1	0.162390815567513
TCGA-L5-A8NG-01	1	0.143336709566462
TCGA-L5-A8NH-01	1	0.241361350268237
TCGA-L5-A8NI-01	1	0.308069055798298
TCGA-L5-A8NJ-01	1	0.528311760577139
TCGA-L5-A8NL-01	1	0.21920793609064
TCGA-L5-A8NM-01	1	0.493787637451939
TCGA-L5-A8NR-01	1	0.0913547846652109
TCGA-L5-A8NS-01	1	0.300209886139702
TCGA-L5-A8NV-01	1	-0.0520150342423219
TCGA-L7-A6VZ-01	1	0.29742629276106
TCGA-M9-A5M8-01	1	0.171908567793062
TCGA-R6-A6DN-01	1	0.460689788409047
TCGA-R6-A6DQ-01	1	0.466806244214528
TCGA-R6-A6L6-01	1	0.524930990787428
TCGA-R6-A6XG-01	1	-0.216125500997182
TCGA-R6-A6Y2-01	1	0.517333525459396
TCGA-R6-A8W5-01	1	0.12497765554113
TCGA-R6-A8W8-01	1	0.405510492123422
TCGA-R6-A8WC-01	1	0.283632441821868
TCGA-RE-A7BO-01	1	0.511425597630153
TCGA-S8-A6BV-01	1	-0.161117615878213
TCGA-V5-A7RB-01	1	0.266954526312621
TCGA-V5-A7RE-01	1	0.209139541756275
TCGA-V5-AASW-01	1	0.486627395025246
TCGA-V5-AASX-01	1	0.484511100523818
TCGA-VR-A8EQ-01	1	0.0910685587699025
TCGA-VR-AA4D-01	1	0.349332162178342
TCGA-X8-AAAR-01	1	0.218478064867843
TCGA-ZR-A9CJ-01	1	0.199045307297541
TCGA-2H-A9GQ-01	2	0.142761143642899
TCGA-IG-A5S3-01	2	0.189096448768339
TCGA-L5-A4OS-01	2	0.24586183459599
TCGA-L5-A8NN-01	2	0.180855848695519
TCGA-LN-A49L-01	2	0.431461036700195
TCGA-LN-A49V-01	2	0.438976243109203
TCGA-LN-A49Y-01	2	0.396593977969805
TCGA-LN-A4A8-01	2	0.520493483303948
TCGA-LN-A7HY-01	2	0.303214693283398
TCGA-LN-A9FO-01	2	0.49722777669117
TCGA-R6-A6KZ-01	2	0.0788494057117766
TCGA-R6-A8WG-01	2	0.167373254598086
TCGA-VR-A8EO-01	2	0.491341572512924
TCGA-VR-A8Q7-01	2	-0.17990174466565
TCGA-IC-A6RF-01	3	0.214404254267109
TCGA-IG-A3Y9-01	3	0.351987549422165
TCGA-IG-A50L-01	3	0.253556257286311
TCGA-IG-A51D-01	3	-0.134703157900786
TCGA-IG-A5B8-01	3	-0.168856237897371
TCGA-IG-A6QS-01	3	0.351937530923725
TCGA-IG-A97H-01	3	0.31741039480993
TCGA-IG-A97I-01	3	0.102005007971477
TCGA-JY-A6FD-01	3	0.489513415341329
TCGA-JY-A6FE-01	3	0.194894186480306
TCGA-JY-A6FG-01	3	0.0298382552574538
TCGA-JY-A93F-01	3	0.232491748791328
TCGA-L5-A43J-01	3	0.0412836580200169
TCGA-L5-A88S-01	3	0.210987475799026
TCGA-L5-A88W-01	3	0.201335891524928
