SampleName	cluster	silhouetteValue
SampleName	cluster	silhouetteValue
TCGA-2G-AAEW-01	1	0.273001877723313
TCGA-2G-AAF1-01	1	0.225205532317874
TCGA-2G-AAFE-01	1	0.360036478897767
TCGA-2G-AAG9-01	1	0.148299634829198
TCGA-2G-AAH3-01	1	0.017613430258896
TCGA-2G-AAH8-01	1	0.120148638659973
TCGA-2G-AAHA-01	1	0.290314425936343
TCGA-2G-AAHL-01	1	0.0673020735499116
TCGA-2G-AAHN-01	1	0.235321584370754
TCGA-2G-AAHT-01	1	0.102863366059019
TCGA-2G-AAKO-01	1	0.300257775251864
TCGA-2X-A9D5-01	1	0.181685866335396
TCGA-2X-A9D6-01	1	0.350654239593639
TCGA-4K-AA1G-01	1	0.433478554065178
TCGA-4K-AA1I-01	1	0.087374985443156
TCGA-S6-A8JW-01	1	0.211007595235824
TCGA-SB-A76C-01	1	0.528400291026699
TCGA-VF-A8AA-01	1	0.0953699113921692
TCGA-WZ-A7V4-01	1	0.558912345310942
TCGA-WZ-A7V5-01	1	0.293131153241132
TCGA-XE-A8H4-01	1	0.183428324488664
TCGA-XE-AANV-01	1	0.314322472126625
TCGA-XE-AAO4-01	1	0.334157029451511
TCGA-XE-AAOF-01	1	-0.0785867911510274
TCGA-XY-A89B-01	1	0.184571381005798
TCGA-YU-A90Q-01	1	0.264199499653684
TCGA-YU-A90S-01	1	0.11235207868966
TCGA-YU-A912-01	1	0.38899794331029
TCGA-ZM-AA05-01	1	0.273456046931726
TCGA-ZM-AA06-01	1	0.125362447845519
TCGA-ZM-AA0D-01	1	0.152704767961616
TCGA-ZM-AA0E-01	1	0.402257888968557
TCGA-ZM-AA0F-01	1	0.105157010210104
TCGA-ZM-AA0H-01	1	0.129539499183752
TCGA-2G-AAEX-01	2	0.529818822854934
TCGA-2G-AAF4-01	2	0.500424469974563
TCGA-2G-AAF6-01	2	-0.0528500280574445
TCGA-2G-AAF8-01	2	-0.0822457277560193
TCGA-2G-AAFG-01	2	0.366945557000412
TCGA-2G-AAFH-01	2	0.344151055445898
TCGA-2G-AAH0-01	2	0.443091542337728
TCGA-2G-AAHC-01	2	0.3170442418331
TCGA-2G-AAHG-01	2	0.304737329696429
TCGA-2G-AAHP-01	2	0.172228284126199
TCGA-S6-A8JX-01	2	0.0153076267285352
TCGA-S6-A8JY-01	2	0.0978966788402588
TCGA-SB-A6J6-01	2	0.141158320570509
TCGA-SN-A6IS-01	2	0.145389643113192
TCGA-SO-A8JP-01	2	0.0660509199212978
TCGA-VF-A8A9-01	2	0.270657229766793
TCGA-VF-A8AE-01	2	-0.0751894043393403
TCGA-W4-A7U2-01	2	0.159768619853287
TCGA-WZ-A7V3-01	2	0.311505065484801
TCGA-WZ-A8D5-01	2	0.164533427593813
TCGA-XE-A8H5-01	2	0.174235490555444
TCGA-XE-A9SE-01	2	0.324837900509084
TCGA-XE-AANJ-01	2	0.478594223277267
TCGA-XE-AAO3-01	2	-0.0353759202245255
TCGA-XE-AAO6-01	2	0.0629940024850756
TCGA-XE-AAOL-01	2	0.555447560215579
TCGA-XY-A9T9-01	2	0.467386419387497
TCGA-YU-A90W-01	2	0.323833318150883
TCGA-ZM-AA0B-01	2	0.253603502316126
TCGA-ZM-AA0N-01	2	0.51969758487456
TCGA-2G-AAFI-01	3	0.347491080706676
TCGA-2G-AAFM-01	3	-0.00668816029294107
TCGA-2G-AAFN-01	3	0.186722151193816
TCGA-2G-AAFY-01	3	0.0315278528044849
TCGA-2G-AAG0-01	3	-0.00227531808707994
TCGA-2G-AAG7-01	3	0.0229373588179592
TCGA-2G-AAGA-01	3	0.124711500833203
TCGA-2G-AAGC-01	3	0.0256094657377703
TCGA-2G-AAGE-01	3	-0.0134390033714448
TCGA-2G-AAGF-01	3	0.191228770078442
TCGA-2G-AAGJ-01	3	0.376378858451118
TCGA-2G-AAGN-01	3	-0.0194868563337563
TCGA-2G-AAGO-01	3	0.274229987044484
TCGA-2G-AAGW-01	3	0.253273468594447
TCGA-2G-AAGZ-01	3	0.315138671793074
TCGA-2G-AAKD-01	3	0.263292812035049
TCGA-2G-AAKH-01	3	0.0685311703880083
TCGA-2G-AAKL-01	3	0.32272018557561
TCGA-2G-AAKM-01	3	0.297376432327926
TCGA-2G-AAL7-01	3	-0.0366491195683468
TCGA-2G-AALS-01	3	0.187330592767991
TCGA-2G-AAM2-01	3	0.202822273173192
TCGA-2G-AAM4-01	3	0.239365010740824
TCGA-SN-A84Y-01	3	0.117067856432463
TCGA-VF-A8A8-01	3	0.162164110708225
TCGA-VF-A8AD-01	3	0.196537372359236
TCGA-W4-A7U4-01	3	0.055840790121897
TCGA-XE-A8H1-01	3	0.177681950064379
TCGA-XE-AAOB-01	3	0.324527994380068
TCGA-XY-A8S2-01	3	0.214338286102564
TCGA-XY-A8S3-01	3	0.458433590491742
TCGA-YU-A90P-01	3	-0.0103269928866197
TCGA-YU-A90Y-01	3	0.352354855529002
TCGA-2G-AAFJ-01	4	0.175741124586603
TCGA-2G-AAG3-01	4	0.303906345332042
TCGA-2G-AAG5-01	4	0
TCGA-2G-AAG6-01	4	-0.17484157316694
TCGA-2G-AAGP-01	4	0.448846050947415
TCGA-2G-AAGS-01	4	0.117208580386916
TCGA-2G-AAGV-01	4	0.211442804963508
TCGA-2G-AAGX-01	4	0.194910161622008
TCGA-2G-AAGY-01	4	0.56199107540447
TCGA-2G-AAH2-01	4	0.00118620654596366
TCGA-2G-AAL5-01	4	0.336613917577665
TCGA-2G-AALQ-01	4	0.146072879059448
TCGA-2G-AALX-01	4	-0.0374074379981505
TCGA-2G-AALY-01	4	0.274497065876578
TCGA-2G-AALZ-01	4	0.405782318706659
TCGA-2G-AAM3-01	4	0.148566773651636
TCGA-SN-A84W-01	4	0.069068650396188
TCGA-SN-A84X-01	4	0.193058427171351
TCGA-XE-AANI-01	4	0.39113097745111
TCGA-XE-AAOC-01	4	0.114726725530978
TCGA-XE-AAOJ-01	4	-0.0289377938456311
TCGA-YU-A94D-01	4	0.221850626849383
