SampleName	cluster	silhouetteValue
SampleName	cluster	silhouetteValue
TCGA-2E-A9G8-01	1	-0.0156778158683364
TCGA-5B-A90C-01	1	0.143376039746575
TCGA-A5-A1OH-01	1	0.13465414417382
TCGA-A5-A2K2-01	1	0.232320131103816
TCGA-A5-A2K4-01	1	0.32223951469127
TCGA-A5-A3LP-01	1	0.085503003928358
TCGA-A5-A7WK-01	1	0.00767051824325316
TCGA-AJ-A23N-01	1	0.126179301544734
TCGA-AJ-A2QM-01	1	0.1092386288118
TCGA-AJ-A3BD-01	1	0.0243454267393842
TCGA-AJ-A3BF-01	1	-0.0279330037540286
TCGA-AJ-A3EJ-01	1	0.144418245819273
TCGA-AJ-A3EL-01	1	0.107822091466383
TCGA-AJ-A3EM-01	1	0.231225758426799
TCGA-AJ-A3IA-01	1	0.231445518271015
TCGA-AJ-A3NF-01	1	0.27386696464683
TCGA-AJ-A3NG-01	1	0.226222356453546
TCGA-AJ-A3NH-01	1	-0.0523008274412176
TCGA-AJ-A3OL-01	1	0.137636764599014
TCGA-AJ-A3QS-01	1	0.257387364534521
TCGA-AJ-A3TW-01	1	0.174227793252561
TCGA-AP-A3K1-01	1	0.0491291902280353
TCGA-AX-A1C7-01	1	0.242094333011408
TCGA-AX-A2H4-01	1	0.119227204193825
TCGA-AX-A2HH-01	1	0.232808436567136
TCGA-AX-A2IN-01	1	0.139634501670315
TCGA-AX-A3FS-01	1	0.0498611867789689
TCGA-AX-A3FV-01	1	0.180667425449144
TCGA-AX-A3FZ-01	1	0.274556952612783
TCGA-AX-A3G3-01	1	0.188166709516166
TCGA-AX-A3G4-01	1	-0.0163802479208499
TCGA-AX-A3G6-01	1	0.0548836074981144
TCGA-AX-A3G7-01	1	0.262268777140046
TCGA-AX-A3GI-01	1	0.0288070713745385
TCGA-B5-A0JN-01	1	0.260540646567603
TCGA-B5-A1MS-01	1	0.150170092655354
TCGA-B5-A1MW-01	1	0.342136675103006
TCGA-B5-A3FA-01	1	0.0365364852624919
TCGA-B5-A3S1-01	1	0.101880314692502
TCGA-B5-A5OD-01	1	0.189350415791553
TCGA-B5-A5OE-01	1	0.343456072324287
TCGA-BG-A3PP-01	1	0.0716565766146835
TCGA-D1-A3DG-01	1	0.0384545192752276
TCGA-D1-A3DH-01	1	0.418002518852776
TCGA-D1-A3JQ-01	1	0.393798671834573
TCGA-DF-A2KU-01	1	0.130916594175307
TCGA-DF-A2KY-01	1	0.117195135715345
TCGA-DI-A1BU-01	1	0.258800535472864
TCGA-DI-A2QY-01	1	-0.169342988551361
TCGA-E6-A2P8-01	1	0.279273098367692
TCGA-E6-A8L9-01	1	0.0644956303051795
TCGA-EO-A22X-01	1	0.0261194055689887
TCGA-EO-A3AS-01	1	0.126658636686177
TCGA-EO-A3AZ-01	1	0.120970362774362
TCGA-EO-A3B1-01	1	0.0111002836794932
TCGA-EO-A3KU-01	1	0.163434300367105
TCGA-EO-A3KW-01	1	0.228205416350488
TCGA-EY-A1GO-01	1	0.2181206150717
TCGA-EY-A1GP-01	1	0.0579759173674919
TCGA-EY-A210-01	1	0.191246721600944
TCGA-EY-A2ON-01	1	0.223442024962177
TCGA-EY-A2OO-01	1	0.115269343005902
TCGA-EY-A2OQ-01	1	0.152157701149205
TCGA-EY-A3L3-01	1	0.174777870038399
TCGA-EY-A4KR-01	1	0.0261775004218069
TCGA-EY-A547-01	1	0.123214105226206
TCGA-EY-A54A-01	1	0.201672567600451
TCGA-EY-A72D-01	1	0.277180250059964
TCGA-FI-A2EY-01	1	0.210966765151533
TCGA-FI-A3PV-01	1	0.0470153340174572
TCGA-FI-A3PX-01	1	0.206139515163168
TCGA-H5-A2HR-01	1	0.318828139321192
TCGA-JU-AAVI-01	1	0.22830352851985
TCGA-K6-A3WQ-01	1	0.00379290937069553
TCGA-KJ-A3U4-01	1	0.21964435960474
TCGA-KP-A3VZ-01	1	0.0890898111415281
TCGA-KP-A3W0-01	1	0.205133692609612
TCGA-KP-A3W3-01	1	0.0612715799591562
TCGA-KP-A3W4-01	1	0.187405358112192
TCGA-PG-A5BC-01	1	0.226980294440349
TCGA-PG-A6IB-01	1	0.217092163388379
TCGA-PG-A7D5-01	1	-0.044911798093887
TCGA-PG-A914-01	1	0.257187003219053
TCGA-PG-A915-01	1	0.128195248302695
TCGA-QS-A744-01	1	0.39216183826091
TCGA-QS-A8F1-01	1	0.0814900612439584
TCGA-SL-A6J9-01	1	0.22056332981677
TCGA-A5-A0G3-01	1	0.0823113189522999
TCGA-A5-A0G5-01	1	-0.00996620630709411
TCGA-A5-A0GH-01	1	0.239267591371171
TCGA-A5-A0R6-01	1	-0.0496284002538626
TCGA-A5-A1OG-01	1	0.0806783150090135
TCGA-AJ-A23M-01	1	0.0913066122524731
TCGA-AP-A052-01	1	0.0421658347220407
TCGA-AP-A053-01	1	-0.0123720885029612
TCGA-AP-A054-01	1	0.10034747615738
TCGA-AP-A05A-01	1	0.200329011274858
TCGA-AP-A05D-01	1	0.2254682561722
TCGA-AP-A05H-01	1	0.086371247301031
TCGA-AP-A05J-01	1	0.0412584963778335
TCGA-AP-A05P-01	1	0.0401045552852194
TCGA-AP-A0L8-01	1	0.0213394111965094
TCGA-AP-A0L9-01	1	0.0208731138017243
TCGA-AP-A0LD-01	1	0.217632019356359
TCGA-AP-A0LI-01	1	0.169557473746548
TCGA-AP-A0LM-01	1	0.137609031387156
TCGA-AP-A1DK-01	1	0.153175712771777
TCGA-AP-A1DQ-01	1	0.00125134163678616
TCGA-AP-A1E4-01	1	0.113153620907253
TCGA-AW-A1PO-01	1	-0.0561836511807314
TCGA-AX-A06B-01	1	0.255411738833701
TCGA-AX-A06D-01	1	0.053917275037784
TCGA-AX-A0IU-01	1	0.202206854764348
TCGA-AX-A0IW-01	1	0.206864380816248
TCGA-AX-A1C5-01	1	0.218300544955071
TCGA-AX-A1C8-01	1	0.0583281045496785
TCGA-AX-A1CA-01	1	0.0335718113463312
TCGA-AX-A1CC-01	1	0.27820204890539
TCGA-AX-A1CF-01	1	0.0968192053493335
TCGA-AX-A1CP-01	1	0.0571101930961441
TCGA-AX-A1CR-01	1	0.188816711540694
TCGA-AX-A2H2-01	1	0.0323529741636302
TCGA-AX-A2H5-01	1	0.0749907572701484
TCGA-AX-A2H8-01	1	0.0982688455762425
TCGA-AX-A2HD-01	1	0.214986751672227
TCGA-AX-A2HF-01	1	0.253672908211086
TCGA-AX-A2HK-01	1	0.120105703740204
TCGA-AX-A2IO-01	1	0.0756403777398558
TCGA-B5-A0K3-01	1	0.0844011903533583
TCGA-B5-A0K4-01	1	0.0885710120578572
TCGA-B5-A0K8-01	1	0.155832941004194
TCGA-B5-A11I-01	1	0.0310051031762319
TCGA-B5-A1MR-01	1	0.205344682920626
TCGA-B5-A1MU-01	1	0.264024690897887
TCGA-B5-A1MY-01	1	0.105926336366321
TCGA-B5-A1N2-01	1	0.0917737541958029
TCGA-BG-A0M6-01	1	-0.0160406568038909
TCGA-BG-A0YV-01	1	0.12761647909837
TCGA-BG-A18C-01	1	0.294661734821389
TCGA-BG-A220-01	1	0.0652068109518392
TCGA-BG-A2AD-01	1	0.151292799092405
TCGA-BG-A2AE-01	1	0.131205714258223
TCGA-BK-A0CC-01	1	0.0723701383568663
TCGA-BK-A139-01	1	0.232969340353806
TCGA-BK-A26L-01	1	0.146848288785757
TCGA-BS-A0U9-01	1	0.127837197537728
TCGA-BS-A0UV-01	1	0.086411671134652
TCGA-BS-A0V8-01	1	0.0616731225625263
TCGA-D1-A0ZP-01	1	0.161180571581777
TCGA-D1-A0ZS-01	1	0.287766046093257
TCGA-D1-A0ZZ-01	1	0.221904829411856
TCGA-D1-A15V-01	1	0.122664491210997
TCGA-D1-A167-01	1	0.263035001808563
TCGA-D1-A16I-01	1	0.129529179961681
TCGA-D1-A16S-01	1	0.312691557571492
TCGA-D1-A16Y-01	1	0.231730403040468
TCGA-D1-A179-01	1	-0.00693204486428437
TCGA-D1-A17K-01	1	0.237127960355703
TCGA-D1-A1NU-01	1	0.155820450699397
TCGA-D1-A1NW-01	1	0.231957336467023
TCGA-D1-A1NX-01	1	0.0893305970507275
TCGA-D1-A1O0-01	1	0.19419993762303
TCGA-D1-A2G6-01	1	0.270268903370844
TCGA-D1-A2G7-01	1	0.286831998716033
TCGA-DI-A0WH-01	1	0.383507930751432
TCGA-DI-A1NN-01	1	0.0585382013395191
TCGA-DI-A1NO-01	1	0.0552646180822828
TCGA-DI-A2QU-01	1	0.120427435970674
TCGA-EO-A1Y5-01	1	0.312025814615567
TCGA-EO-A1Y8-01	1	0.33061553044645
TCGA-EO-A2CG-01	1	0.0498762184333463
TCGA-EO-A2CH-01	1	0.239147928039386
TCGA-EY-A1G7-01	1	-0.0144039414165741
TCGA-EY-A1GC-01	1	0.282291154495521
TCGA-EY-A1GM-01	1	0.169854526665863
TCGA-EY-A1GR-01	1	0.0770990221437627
TCGA-EY-A1GS-01	1	0.107306492958982
TCGA-EY-A1GV-01	1	-0.0294769731520935
TCGA-EY-A212-01	1	0.336320143841319
TCGA-EY-A2OM-01	1	0.141097807223899
TCGA-FI-A2CX-01	1	0.123774874253446
TCGA-FI-A2CY-01	1	0.161147835390121
TCGA-FI-A2D2-01	1	-0.0078776031901363
TCGA-FI-A2D6-01	1	0.30600288842284
TCGA-FI-A2EU-01	1	0.369284013911222
TCGA-FI-A2EW-01	1	0.224742545880015
TCGA-FI-A2EX-01	1	0.00600763624382094
TCGA-FI-A2F8-01	1	0.0766583757075088
TCGA-FI-A2F9-01	1	-0.0472200726625312
TCGA-4E-A92E-01	2	0.0237972349047048
TCGA-5S-A9Q8-01	2	0.137112043899926
TCGA-A5-A2K5-01	2	0.0712067802804803
TCGA-A5-A3LO-01	2	0.343620508264316
TCGA-A5-AB3J-01	2	0.029647351641338
TCGA-AJ-A3NC-01	2	0.102523030977612
TCGA-AJ-A5DW-01	2	0.132257616826923
TCGA-AJ-A8CW-01	2	0.11940613518443
TCGA-B5-A0JR-01	2	0.11246905353596
TCGA-B5-A3FC-01	2	0.108737100077588
TCGA-B5-A5OC-01	2	0.146559885219046
TCGA-BK-A13B-01	2	0.317709064530164
TCGA-BK-A4ZD-01	2	-0.0453477913546821
TCGA-BS-A0V7-01	2	0.359203128441893
TCGA-DI-A1C3-01	2	0.16313169105977
TCGA-EO-A22U-01	2	-0.000739018893073284
TCGA-EO-A3B0-01	2	0.0662517362260654
TCGA-EO-A3KX-01	2	-0.00298293699943676
TCGA-EY-A1GL-01	2	0.30930662916754
TCGA-EY-A2OP-01	2	0.18258676807467
TCGA-PG-A917-01	2	0.241064668835871
TCGA-QF-A5YT-01	2	0.326129739007947
TCGA-A5-A0GB-01	2	-0.0161981693150806
TCGA-A5-A0GI-01	2	-0.0169134072800583
TCGA-A5-A0GJ-01	2	0.338102211885102
TCGA-A5-A0GM-01	2	0.134570699915034
TCGA-A5-A0GN-01	2	0.0902864966752353
TCGA-A5-A0GU-01	2	0.264545213711017
TCGA-A5-A0GV-01	2	0.212796507012404
TCGA-A5-A0GW-01	2	0.13525873171101
TCGA-A5-A0GX-01	2	0.0150784679605378
TCGA-A5-A0R7-01	2	0.0267778196901001
TCGA-A5-A0R9-01	2	0.228255612287424
TCGA-A5-A0VP-01	2	0.232779960230127
TCGA-A5-A0VQ-01	2	0.227000577732093
TCGA-AJ-A23O-01	2	0.302815050721171
TCGA-AJ-A2QK-01	2	0.141184997669487
TCGA-AP-A051-01	2	0.262918772611823
TCGA-AP-A05N-01	2	0.0124487519271665
TCGA-AP-A0LE-01	2	0.240535543594321
TCGA-AP-A0LG-01	2	0.241376647410056
TCGA-AP-A0LL-01	2	0.178918090354742
TCGA-AP-A0LN-01	2	0.024384942887688
TCGA-AP-A0LS-01	2	0.00273640842848185
TCGA-AP-A0LV-01	2	0.0304476313395834
TCGA-AP-A1DH-01	2	0.16630403083295
TCGA-AP-A1E0-01	2	0.0752526998964776
TCGA-AP-A1E1-01	2	0.283785594479043
TCGA-AP-A1E3-01	2	0.277135900327307
TCGA-AX-A062-01	2	-0.00552713336142043
TCGA-AX-A063-01	2	-0.00585439396154827
TCGA-AX-A06H-01	2	0.0888951115673546
TCGA-AX-A0IS-01	2	0.39590364644445
TCGA-AX-A0J0-01	2	-0.0412333278412723
TCGA-AX-A0J1-01	2	0.0798676231745342
TCGA-AX-A1CI-01	2	0.0040494620802703
TCGA-AX-A1CK-01	2	-0.0172318485046605
TCGA-AX-A1CN-01	2	0.0365661995264057
TCGA-AX-A2HA-01	2	0.0814862009647685
TCGA-AX-A2HC-01	2	0.134119589654168
TCGA-AX-A2HJ-01	2	0.251649542997179
TCGA-B5-A0JU-01	2	0.250981262055859
TCGA-B5-A0JV-01	2	0.137588989241224
TCGA-B5-A0JY-01	2	0.0987207578583606
TCGA-B5-A0K0-01	2	0.135622155478045
TCGA-B5-A0K6-01	2	0.046098156550302
TCGA-B5-A0K7-01	2	0.0790002048826891
TCGA-B5-A11E-01	2	0.213240827133584
TCGA-B5-A11F-01	2	0.120042516070612
TCGA-B5-A11Q-01	2	0.0959070919663142
TCGA-B5-A11U-01	2	0.149406226053289
TCGA-B5-A11V-01	2	0.0812817105367954
TCGA-B5-A11X-01	2	0.0746380530940468
TCGA-B5-A11Z-01	2	-0.0142974248057229
TCGA-B5-A1MZ-01	2	0.0519420949805865
TCGA-BG-A0LW-01	2	0.129701202187286
TCGA-BG-A0LX-01	2	0.0423783464324558
TCGA-BG-A0M3-01	2	0.111893196201369
TCGA-BG-A0MA-01	2	-0.00506670192739765
TCGA-BG-A0MI-01	2	0.0758537777884725
TCGA-BG-A0MO-01	2	0.0441924114123555
TCGA-BG-A0MS-01	2	0.00226554870687636
TCGA-BG-A0MT-01	2	0.310128517714202
TCGA-BG-A0MU-01	2	0.163912392533129
TCGA-BG-A0VT-01	2	0.269644444926762
TCGA-BG-A0VX-01	2	0.189878668618552
TCGA-BG-A186-01	2	0.310300522946583
TCGA-BG-A2L7-01	2	0.0312520377905876
TCGA-BK-A0CB-01	2	0.0520973937908492
TCGA-BS-A0T9-01	2	0.00241562971186368
TCGA-BS-A0TI-01	2	0.135155346683409
TCGA-BS-A0TJ-01	2	-0.0209708338758767
TCGA-BS-A0U8-01	2	0.223482895766978
TCGA-BS-A0UF-01	2	0.192584076775353
TCGA-BS-A0UJ-01	2	0.200860014976333
TCGA-BS-A0UL-01	2	0.236736867540311
TCGA-BS-A0UT-01	2	0.13471016924066
TCGA-BS-A0VI-01	2	0.0857240455894195
TCGA-BS-A0WQ-01	2	0.1888497029112
TCGA-D1-A0ZN-01	2	0.30410779120902
TCGA-D1-A0ZQ-01	2	0.208707263721904
TCGA-D1-A0ZU-01	2	0.130617355678627
TCGA-D1-A102-01	2	0.0672136678000802
TCGA-D1-A15Z-01	2	0.206381004829031
TCGA-D1-A16B-01	2	0.227017176426125
TCGA-D1-A16N-01	2	0.208036512616914
TCGA-D1-A16Q-01	2	0.0638349671431721
TCGA-D1-A16R-01	2	0.232990564893041
TCGA-D1-A16V-01	2	0.103036380442179
TCGA-D1-A175-01	2	0.0558325041323545
TCGA-D1-A17C-01	2	0.0374918571907636
TCGA-D1-A17M-01	2	0.241653296429811
TCGA-D1-A17R-01	2	-0.0175085236394469
TCGA-D1-A1O8-01	2	-0.00302410814140513
TCGA-DI-A1BY-01	2	0.281411004943127
TCGA-E6-A1M0-01	2	0.253118424315225
